Timestamp,Seleccioná la opción que mejor corresponda a cada herramienta [Python],Seleccioná la opción que mejor corresponda a cada herramienta [DeepLabCut],Seleccioná la opción que mejor corresponda a cada herramienta [Rmarkdown],Seleccioná la opción que mejor corresponda a cada herramienta [EzTrack],Seleccioná la opción que mejor corresponda a cada herramienta [Bonsai],Seleccioná la opción que mejor corresponda a cada herramienta [Arduino],Seleccioná la opción que mejor corresponda a cada herramienta [Gestor de bibliografía (Zotero)],Seleccioná la opción que mejor corresponda a cada herramienta [R],Seleccioná la opción que mejor corresponda a cada herramienta [Inkscape],Seleccioná la opción que mejor corresponda a cada tema [Videotracking],Seleccioná la opción que mejor corresponda a cada tema [Machine Learning],Seleccioná la opción que mejor corresponda a cada tema [Análisis y reporte de datos],Seleccioná la opción que mejor corresponda a cada tema [Sincronización de dispositivos de un setup (estación experimental)],Seleccioná la opción que mejor corresponda a cada tema [Internet de las cosas (IoT)],Seleccioná la opción que mejor corresponda a cada tema [Confección de material gráfico (pósters)],Seleccioná la opción que mejor corresponda a cada tema [Análisis de señales],Seleccioná la opción que mejor corresponda a cada tema [Robótica],¿Conocés alguna otra herramienta abierta o se te ocurre algún tema que no se encuentra en las listas anteriores? ¿La usaste o te gustaría asistir a un taller sobre ella?,"¿Te gustaría asistir a un taller ""hands-on"" remoto para el cual te brindemos un kit de material físico? Por ej: placas microcontroladoras Arduino, elementos de electrónica, sensores.","Si te gustaría realizar el taller ""hands-on"" remoto, ¿cuál de estos temas te interesaría?","Si te gustaría realizar el taller ""hands-on"" remoto, ¿te parece que podrías disponer de parte de los fondos para adquirir el kit?",¿Asististe a alguno de nuestros encuentros anteriores?,¿Querés hacer algún comentario acerca de los talleres que ya hemos brindado?,"¿Querés brindar un taller para estudiantes de neurociencias sobre alguna herramienta abierta copada en base a tu experiencia? Contanos brevemente y dejanos un contacto. Si conocés a alguien que le interese, por favor, ¡invitale a llenar este formulario!",Etapa de la carrera,Carrera de grado,En que provincia trabajás (por favor indicá ciudad y país si no es en Argentina),Programo...,Lenguajes de programación que utilizás frecuentemente,En tu grupo de trabajo se usa software open source,En tu grupo de trabajo se usa hardware open source,Encuentro que la falta de capacitación en hardware y software es un factor limitante para mi trabajo,Encuentro que la falta de financiamiento para hardware y software es un factor limitante para mi trabajo,Los materiales para reproducir mis investigaciones están en un repositorio público,
5/5/2021 12:50:47,Lo conozco pero nunca usé,No lo conozco,No lo conozco,No lo conozco,No lo conozco,Quiero asistir a un taller sobre esto,Lo uso/usé,"Lo uso/usé, Quiero asistir a un taller sobre esto",Lo conozco pero nunca usé,No lo conozco,No lo conozco,No lo conozco,No lo conozco,Lo conozco pero no lo uso,No lo conozco,No lo conozco,Lo conozco pero no lo uso,Maltego,Sí,"Adquisición de señales biológicas (ej: EMG, ECG) y su uso para generar estímulos, Automatización de una estación comportamental (sensores y actuadores)","Sí, entre ARS$1000 y ARS$3000",No asistí,Solo he recibido informacion,"Por el momento no, pero si en el futuro pues estoy desarrollando algunas ideas",Investigador/a,Economia,Ecuador,Una vez al año,"R, php",Sí,No,5,5,No,
5/5/2021 13:25:51,"Lo uso/usé, Quiero asistir a un taller sobre esto",No lo conozco,No lo conozco,No lo conozco,No lo conozco,"Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto",Lo uso/usé,"Lo uso/usé, Quiero asistir a un taller sobre esto",No lo conozco,"No lo conozco, Lo conozco pero no lo uso","Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto","Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto","Lo uso/usé, Quiero asistir a un taller sobre esto",No lo conozco,"No lo conozco, Lo uso/usé, Quiero asistir a un taller sobre esto","Lo uso/usé, Quiero asistir a un taller sobre esto",Lo conozco pero no lo uso,,Sí,"Adquisición de señales biológicas (ej: EMG, ECG) y su uso para generar estímulos","Sí, hasta ARS$1000",No asistí,,,Doctorando,Biología,CABA,Una vez por semana,"Python, Aprendiendo",Sí,No sé,5,3,No,
5/5/2021 13:38:20,Quiero asistir a un taller sobre esto,No lo conozco,No lo conozco,No lo conozco,No lo conozco,"Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto",Lo conozco pero nunca usé,Lo uso/usé,No lo conozco,Quiero asistir a un taller sobre esto,Quiero asistir a un taller sobre esto,Quiero asistir a un taller sobre esto,Quiero asistir a un taller sobre esto,Quiero asistir a un taller sobre esto,,Quiero asistir a un taller sobre esto,Quiero asistir a un taller sobre esto,,Sí,"Adquisición de señales biológicas (ej: EMG, ECG) y su uso para generar estímulos, Automatización de una estación comportamental (sensores y actuadores)","Sí, entre ARS$3000 y ARS$5000",Encuentros con BA Laboratorio Tecnológico,"Amo la movida, sigan así","Me encantaría, realmente no sabría de qué hacerlo.",Investigador en Formación,Psicología,CABA,Una vez por semana,"Python, Matlab",Sí,No sé,5,5,No,
5/5/2021 13:54:00,Quiero asistir a un taller sobre esto,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,Lo conozco pero nunca usé,Lo uso/usé,No lo conozco,No lo conozco,"Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto",Quiero asistir a un taller sobre esto,No lo conozco,No lo conozco,"No lo conozco, Quiero asistir a un taller sobre esto","No lo conozco, Quiero asistir a un taller sobre esto",No lo conozco,"Procesamiento de Neuroimágenes (FSL, SPM): me gustaría asistir a un taller.",Sí,"Adquisición de señales biológicas (ej: EMG, ECG) y su uso para generar estímulos, Automatización de una estación comportamental (sensores y actuadores)","Sí, hasta ARS$1000",No asistí,,,Doctorando,Psicología,CABA,Una vez al año,R,No,No sé,5,5,No,
5/5/2021 14:07:26,"Lo uso/usé, Quiero asistir a un taller sobre esto",No lo conozco,No lo conozco,No lo conozco,No lo conozco,"Lo uso/usé, Quiero asistir a un taller sobre esto",No lo conozco,Lo conozco pero nunca usé,Lo conozco pero nunca usé,No lo conozco,"Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto","Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto",Lo conozco pero no lo uso,"Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto",No lo conozco,No lo conozco,"Lo uso/usé, Quiero asistir a un taller sobre esto","Raspberrry PI, como la 3 B+ o la PICO, donde esta ultima es similar a arduino, pero mejor por su procesamientos y demas.",Sí,"Adquisición de señales biológicas (ej: EMG, ECG) y su uso para generar estímulos, Automatización de una estación comportamental (sensores y actuadores)","Sí, entre ARS$3000 y ARS$5000",C1E3: Placa controladora Arduino,"solo que se podria hacer un acercamiento a lenguaje C para lo que es arduino, con python se podria programar la raspberry pi pico, que seria un herramienta interesante para ver.","no me animaria, de neurociencia no se nada, pero poco sobre arduino, raspberry pi y programacion.","Estudiante de fullstack en desarrollo web, autodidacta de algunos lenguajes de programacion y placas arduino/raspberry pi",Computación,San Luis - Argentina,Más de una vez por semana,"Python, Javascript",Sí,Sí,4,4,Código + Documentación,
5/5/2021 14:24:03,"Lo uso/usé, Quiero asistir a un taller sobre esto",No lo conozco,"Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto",No lo conozco,No lo conozco,Lo conozco pero nunca usé,No lo conozco,Lo uso/usé,No lo conozco,"Lo uso/usé, Quiero asistir a un taller sobre esto","Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto","Lo uso/usé, Quiero asistir a un taller sobre esto",No lo conozco,No lo conozco,"Lo uso/usé, Quiero asistir a un taller sobre esto",No lo conozco,Lo conozco pero no lo uso,,Sí,"Adquisición de señales biológicas (ej: EMG, ECG) y su uso para generar estímulos","Sí, hasta ARS$1000",No asistí,,,Doctorando,Biología,CABA,Una vez por semana,"Python, R",Sí,No sé,4,5,No,
5/5/2021 14:36:03,"Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto",Lo conozco pero nunca usé,No lo conozco,"Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto",No lo conozco,Lo conozco pero nunca usé,"Lo uso/usé, Quiero asistir a un taller sobre esto","Lo uso/usé, Quiero asistir a un taller sobre esto",No lo conozco,Lo conozco pero no lo uso,Lo conozco pero no lo uso,"Lo uso/usé, Quiero asistir a un taller sobre esto",Lo conozco pero no lo uso,Lo conozco pero no lo uso,"Lo uso/usé, Quiero asistir a un taller sobre esto","Lo uso/usé, Quiero asistir a un taller sobre esto",Lo conozco pero no lo uso,,Sí,"Adquisición de señales biológicas (ej: EMG, ECG) y su uso para generar estímulos","Sí, entre ARS$1000 y ARS$3000",No asistí,,,Doctorando,Letras,CABA,Una vez al año,"R, Javascript",Sí,No sé,3,3,Código,
5/5/2021 14:42:19,"Lo uso/usé, Quiero asistir a un taller sobre esto","Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto",No lo conozco,"Lo uso/usé, Quiero asistir a un taller sobre esto","Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto",Lo conozco pero nunca usé,"Lo uso/usé, Quiero asistir a un taller sobre esto","Lo uso/usé, Quiero asistir a un taller sobre esto","No lo conozco, Quiero asistir a un taller sobre esto","Lo uso/usé, Quiero asistir a un taller sobre esto",Lo conozco pero no lo uso,"Lo uso/usé, Quiero asistir a un taller sobre esto",Lo conozco pero no lo uso,No lo conozco,"Lo uso/usé, Quiero asistir a un taller sobre esto","Lo uso/usé, Quiero asistir a un taller sobre esto",No lo conozco,,Sí,"Adquisición de señales biológicas (ej: EMG, ECG) y su uso para generar estímulos, Automatización de una estación comportamental (sensores y actuadores)","Sí, entre ARS$1000 y ARS$3000","C1E1: Programación para análisis y visualización de datos en Python y Google Colab, C1E2: Control de versionado y desarrollo colaborativo con Git en GitHub, C1E3: Placa controladora Arduino","muy utiles, concisos y explicativos, me re gustaron",,Doctorando,Biología,CABA,Una vez al año,Python,No,No,3,3,No,
5/5/2021 15:07:04,Quiero asistir a un taller sobre esto,No lo conozco,No lo conozco,No lo conozco,No lo conozco,Lo uso/usé,No lo conozco,Quiero asistir a un taller sobre esto,No lo conozco,Quiero asistir a un taller sobre esto,Quiero asistir a un taller sobre esto,,No lo conozco,No lo conozco,Lo uso/usé,Quiero asistir a un taller sobre esto,Quiero asistir a un taller sobre esto,,Sí,"Adquisición de señales biológicas (ej: EMG, ECG) y su uso para generar estímulos","Sí, entre ARS$1000 y ARS$3000",No asistí,,,Doctorando,Psicología,CABA,Nunca,Ninguno,Sí,Sí,3,1,No,
5/5/2021 15:11:23,Quiero asistir a un taller sobre esto,Quiero asistir a un taller sobre esto,No lo conozco,No lo conozco,Quiero asistir a un taller sobre esto,Quiero asistir a un taller sobre esto,Lo conozco pero nunca usé,Quiero asistir a un taller sobre esto,No lo conozco,Quiero asistir a un taller sobre esto,Lo conozco pero no lo uso,Quiero asistir a un taller sobre esto,Quiero asistir a un taller sobre esto,No lo conozco,Lo uso/usé,Quiero asistir a un taller sobre esto,No lo conozco,,Sí,"Adquisición de señales biológicas (ej: EMG, ECG) y su uso para generar estímulos, Automatización de una estación comportamental (sensores y actuadores)","Sí, entre ARS$3000 y ARS$5000",C1E3: Placa controladora Arduino,,,Investigador/a,Biología,CABA,Una vez por semana,Matlab,No,No,5,4,No,
