Marca temporal,Etapa de la carrera,Carrera de grado,En que provincia trabajas,En tu laboratorio se usa hardware open source,En tu laboratorio se usa software open source,Seleccioná la opción que mejor corresponda a cada herramienta [Linux],Seleccioná la opción que mejor corresponda a cada herramienta [LibreOffice],Seleccioná la opción que mejor corresponda a cada herramienta [Python],Seleccioná la opción que mejor corresponda a cada herramienta [R],Seleccioná la opción que mejor corresponda a cada herramienta [Bonsai-rx],Seleccioná la opción que mejor corresponda a cada herramienta [Inkscape],Seleccioná la opción que mejor corresponda a cada herramienta [Raspberry Pi],Seleccioná la opción que mejor corresponda a cada herramienta [Teensy],Seleccioná la opción que mejor corresponda a cada herramienta [Arduino],Seleccioná la opción que mejor corresponda a cada herramienta [ESP32],Seleccioná la opción que mejor corresponda a cada herramienta [Impresora 3D],Seleccioná la opción que mejor corresponda a cada herramienta [Thingyverse],Seleccioná la opción que mejor corresponda a cada herramienta [Hackaday],Seleccioná la opción que mejor corresponda a cada herramienta [GitHub],Seleccioná la opción que mejor corresponda a cada herramienta [KiCAD],Seleccioná la opción que mejor corresponda a cada herramienta [CNC],Seleccioná la opción que mejor corresponda a cada herramienta [Cortadora Laser],¿Sabés programar? ¿Cómo aprendiste?,Programo,Lenguajes de programación que frecuentemente utilizas,Encuentro que la falta de financiamiento para hardware y software es un factor limitante para mi trabajo,Encuentro que la falta de capacitación en hardware y software es un factor limitante para mi trabajo,Los materiales para reproducir mi investigación están en un repositorio público
2020-07-03T14:21:48Z,Doctorando,Psicología,CABA,No sé,Sí,Lo uso/usé,Lo uso/usé,Lo uso/usé,Lo uso/usé,No lo conozco,No lo conozco,Lo conozco pero nunca usé,No lo conozco,Lo conozco pero nunca usé,No lo conozco,No lo conozco,No lo conozco,No lo conozco,Lo uso/usé,No lo conozco,No lo conozco,No lo conozco,De forma autodidacta ademas de aplicarlo todos los dias en el laboratorio.,Más de una vez por semana,"Python, R",3,3,Código
2020-07-03T14:26:10Z,Estudiante de grado,Psicología,CABA,No sé,No sé,Lo conozco pero nunca usé,No lo conozco,"Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto","Lo uso/usé, Quiero asistir a un taller sobre esto",No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,Lo conozco pero nunca usé,No lo conozco,No lo conozco,Lo conozco pero nunca usé,No lo conozco,No lo conozco,Lo conozco pero nunca usé,"Sí, en colegio, universidad y cursos online",Una vez por semana,R,3,4,Código + Documentación
2020-07-03T15:03:49Z,Doctorando,Biología,CABA,Sí,Sí,Lo uso/usé,Lo uso/usé,"Lo uso/usé, Quiero asistir a un taller sobre esto","Lo uso/usé, Quiero asistir a un taller sobre esto","Lo uso/usé, Quiero asistir a un taller sobre esto",Lo uso/usé,"Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto",Lo conozco pero nunca usé,"Lo uso/usé, Quiero asistir a un taller sobre esto",No lo conozco,"Lo uso/usé, Quiero asistir a un taller sobre esto",No lo conozco,No lo conozco,"Lo uso/usé, Quiero asistir a un taller sobre esto",No lo conozco,No lo conozco,Lo conozco pero nunca usé,"un poco, superficialmente en una materia de la facu y después autodidacticamente.",Más de una vez por semana,Matlab,3,4,No
2020-07-03T15:26:27Z,Doctorando,Biología,CABA,No sé,No,"Lo uso/usé, Quiero asistir a un taller sobre esto",Lo uso/usé,Lo uso/usé,"Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto",No lo conozco,Lo uso/usé,No lo conozco,No lo conozco,Lo conozco pero nunca usé,No lo conozco,"No lo conozco, Quiero asistir a un taller sobre esto",No lo conozco,No lo conozco,Lo uso/usé,No lo conozco,No lo conozco,No lo conozco,"Sí, materia de introducción a la computación",Una vez al año,Python,5,3,No
2020-07-03T16:41:35Z,Doctorando,Farmacia,Córdoba,No sé,No sé,"Lo uso/usé, Quiero asistir a un taller sobre esto",Lo uso/usé,"Lo uso/usé, Quiero asistir a un taller sobre esto",No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,Lo conozco pero nunca usé,No lo conozco,No lo conozco,Lo conozco pero nunca usé,No lo conozco,No lo conozco,No lo conozco,"Estoy aprendiendo, y necesito herramientas para seguir aprendiendo",NA,Python,2,5,No
2020-07-03T17:29:04Z,Doctorando,Biología,NA,No sé,Sí,Lo conozco pero nunca usé,Lo uso/usé,Quiero asistir a un taller sobre esto,Lo uso/usé,Quiero asistir a un taller sobre esto,No lo conozco,No lo conozco,No lo conozco,Lo conozco pero nunca usé,No lo conozco,Quiero asistir a un taller sobre esto,No lo conozco,Quiero asistir a un taller sobre esto,Quiero asistir a un taller sobre esto,No lo conozco,No lo conozco,Lo conozco pero nunca usé,NA,Una vez por semana,Matlab,3,5,Código
2020-07-04T16:55:32Z,Post-doc,Psicología,CABA,Sí,Sí,Lo uso/usé,Lo uso/usé,Quiero asistir a un taller sobre esto,Quiero asistir a un taller sobre esto,Lo uso/usé,Lo uso/usé,Quiero asistir a un taller sobre esto,No lo conozco,Lo uso/usé,No lo conozco,Lo conozco pero nunca usé,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,"No lo conozco, Lo conozco pero nunca usé","Si, a los ponchazos",Más de una vez por semana,Matlab,3,4,No
2020-07-04T20:26:24Z,Estudiante de grado,Biología,CABA,No sé,Sí,"Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto",Lo uso/usé,"Lo uso/usé, Quiero asistir a un taller sobre esto",Lo uso/usé,No lo conozco,No lo conozco,No lo conozco,No lo conozco,"Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto",No lo conozco,No lo conozco,No lo conozco,No lo conozco,Quiero asistir a un taller sobre esto,No lo conozco,No lo conozco,No lo conozco,"poco, en R principalmente, estoy tratando de meterme más con C++ ya que lo necesito para instalarme y correr un programa para análisis de trayectoria de animales caminando en una posición fija sobre una bola (experimentos de comportamiento). El programa es open source y se llama Fic-Trac. Tengo que usar Git-hub para descargar las cosas y es medio un mundo  nuevo para mí",Una vez por semana,"C, R",2,3,No
2020-07-04T20:35:40Z,Licenciado,Actividad física y deporte,Buenos Aires,No,No,Lo uso/usé,Lo uso/usé,Lo conozco pero nunca usé,"Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto",No lo conozco,No lo conozco,"Lo uso/usé, Quiero asistir a un taller sobre esto",No lo conozco,"Lo uso/usé, Quiero asistir a un taller sobre esto",No lo conozco,Lo conozco pero nunca usé,"No lo conozco, Lo conozco pero nunca usé",Lo conozco pero nunca usé,Lo uso/usé,No lo conozco,Lo conozco pero nunca usé,Lo conozco pero nunca usé,Muy poco. En un curso breve de arduino,Una vez al año,C,5,5,No
2020-07-04T21:23:45Z,Estudiante de grado,Biología,CABA,No sé,No sé,Lo conozco pero nunca usé,Lo uso/usé,Lo conozco pero nunca usé,Lo conozco pero nunca usé,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,Lo conozco pero nunca usé,No lo conozco,No lo conozco,No lo conozco,Lo conozco pero nunca usé,No lo conozco,No lo conozco,NA,Nunca,Ninguno,1,1,No
2020-07-05T12:37:52Z,Doctorando,Biología,CABA,No sé,No,Lo conozco pero nunca usé,Lo uso/usé,Lo uso/usé,Lo conozco pero nunca usé,No lo conozco,No lo conozco,No lo conozco,No lo conozco,Lo conozco pero nunca usé,No lo conozco,Lo conozco pero nunca usé,No lo conozco,No lo conozco,Lo conozco pero nunca usé,No lo conozco,No lo conozco,Lo conozco pero nunca usé,Sé algo de Python porque curse una materia en la UNSAM este primer cuatrimestre,Más de una vez por semana,Python,3,4,No
2020-07-05T19:21:47Z,Investigador,Bioquimica,Exterior del pais,No,Sí,Quiero asistir a un taller sobre esto,Lo conozco pero nunca usé,Quiero asistir a un taller sobre esto,Lo conozco pero nunca usé,Lo conozco pero nunca usé,No lo conozco,No lo conozco,No lo conozco,No lo conozco,Lo conozco pero nunca usé,Lo conozco pero nunca usé,Lo conozco pero nunca usé,No lo conozco,Lo conozco pero nunca usé,No lo conozco,Lo conozco pero nunca usé,Lo conozco pero nunca usé,NA,Nunca,Ninguno,3,5,No
2020-07-05T21:16:03Z,Doctorando,Ingeniería Biomédica,CABA,Sí,Sí,Lo uso/usé,Lo uso/usé,"Lo uso/usé, Quiero asistir a un taller sobre esto",Lo uso/usé,"Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto",Lo uso/usé,"Lo uso/usé, Quiero asistir a un taller sobre esto",No lo conozco,Lo uso/usé,"Lo uso/usé, Quiero asistir a un taller sobre esto",Lo uso/usé,Lo uso/usé,"Lo uso/usé, Quiero asistir a un taller sobre esto","Lo uso/usé, Quiero asistir a un taller sobre esto",Lo conozco pero nunca usé,Lo conozco pero nunca usé,Lo conozco pero nunca usé,Si. Educación formal y autoaprendizaje,Más de una vez por semana,"C, R, Matlab, Assembler",4,4,No
2020-07-06T13:00:51Z,Doctorando,Biología,CABA,No,No sé,Lo uso/usé,Lo uso/usé,"Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto","Lo uso/usé, Quiero asistir a un taller sobre esto",No lo conozco,"Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto",No lo conozco,No lo conozco,Lo conozco pero nunca usé,No lo conozco,"Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto",No lo conozco,No lo conozco,"Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto",No lo conozco,No lo conozco,No lo conozco,"Programar solo en Java, por un curso en el plan 111MIL en el 2017",Una vez al año,Java,3,2,No
2020-07-08T13:03:46Z,Post-doc,Biología,CABA,No,Sí,Lo uso/usé,No lo conozco,"Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto","Lo uso/usé, Quiero asistir a un taller sobre esto",No lo conozco,Lo conozco pero nunca usé,"No lo conozco, Quiero asistir a un taller sobre esto",No lo conozco,"Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto",No lo conozco,"Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto",No lo conozco,No lo conozco,"Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto",No lo conozco,"No lo conozco, Quiero asistir a un taller sobre esto",No lo conozco,Mas o menos. A programar en R y en Fiji aprendí haciendo cursos y luego mirando foros.,Una vez al año,"R, el de fiji que sería algo como java.",3,4,No
